v8-version,7,0,276,38,-node.18,0
code-creation,Builtin,3,3192,0x3e63c3b2c1c0,15,DatePrototypeSetUTCMinutes
code-creation,Builtin,3,3197,0x3e63c3b2c220,15,DatePrototypeSetUTCMonth
code-creation,Builtin,3,3202,0x3e63c3b2c280,15,DatePrototypeSetUTCSeconds
code-creation,Builtin,3,3206,0x3e63c3b2c2e0,15,DatePrototypeToDateString
code-creation,Builtin,3,3211,0x3e63c3b2c340,15,DatePrototypeToISOString
code-creation,Builtin,3,3216,0x3e63c3b2c3a0,15,DatePrototypeToUTCString
code-creation,Builtin,3,3220,0x3e63c3b2c400,15,DatePrototypeToString
code-creation,Builtin,3,3225,0x3e63c3b2c460,15,DatePrototypeToTimeString
code-creation,Builtin,3,3230,0x3e63c3b2c4c0,15,DatePrototypeToJson
code-creation,Builtin,3,3234,0x3e63c3b2c520,15,DateUTC
code-creation,Builtin,3,3238,0x3e63c3b2c580,15,ErrorConstructor
code-creation,Builtin,3,3243,0x3e63c3b2c5e0,15,ErrorCaptureStackTrace
code-creation,Builtin,3,3247,0x3e63c3b2c640,15,ErrorPrototypeToString
code-creation,Builtin,3,3252,0x3e63c3b2c6a0,15,MakeError
code-creation,Builtin,3,3256,0x3e63c3b2c700,15,MakeRangeError
code-creation,Builtin,3,3260,0x3e63c3b2c760,15,MakeSyntaxError
code-creation,Builtin,3,3265,0x3e63c3b2c7c0,15,MakeTypeError
code-creation,Builtin,3,3269,0x3e63c3b2c820,15,MakeURIError
code-creation,Builtin,3,3273,0x3e63c3b2c880,15,FunctionConstructor
code-creation,Builtin,3,3278,0x3e63c3b2c8e0,64,FunctionPrototypeApply
code-creation,Builtin,3,3282,0x3e63c3b2c960,15,FunctionPrototypeBind
code-creation,Builtin,3,3287,0x3e63c3b2c9c0,47,FunctionPrototypeCall
code-creation,Builtin,3,3292,0x3e63c3b2ca40,425,FunctionPrototypeHasInstance
code-creation,Builtin,3,3297,0x3e63c3b2cc40,15,FunctionPrototypeToString
code-creation,Builtin,3,3301,0x3e63c3b2cca0,227,CreateIterResultObject
code-creation,Builtin,3,3306,0x3e63c3b2cde0,840,CreateGeneratorObject
code-creation,Builtin,3,3311,0x3e63c3b2d180,15,GeneratorFunctionConstructor
code-creation,Builtin,3,3316,0x3e63c3b2d1e0,15,AsyncFunctionConstructor
code-creation,Builtin,3,3321,0x3e63c3b2d240,15,GlobalDecodeURI
code-creation,Builtin,3,3325,0x3e63c3b2d2a0,15,GlobalDecodeURIComponent
code-creation,Builtin,3,3330,0x3e63c3b2d300,15,GlobalEncodeURI
code-creation,Builtin,3,3334,0x3e63c3b2d360,15,GlobalEncodeURIComponent
code-creation,Builtin,3,3339,0x3e63c3b2d3c0,15,GlobalEscape
code-creation,Builtin,3,3343,0x3e63c3b2d420,15,GlobalUnescape
